PAIR1,PAIR2,PAIR3,PAIR4,Local
-74,-79,-82,-86,sala01
-71,-71,-81,-81,sala01
-78,-78,-83,-85,sala01
-75,-76,-81,-81,sala01
-74,-71,0,0,sala01
-71,-78,0,0,sala01
-71,-70,0,0,sala01
-70,-72,0,0,sala01
-70,-72,0,0,sala01
-74,-75,0,0,sala01
-78,-70,0,0,sala01
-73,-75,0,0,sala01
-79,-73,0,0,sala01
-77,-71,0,0,sala01
-76,-74,0,0,sala01
-77,-75,0,0,sala01
-79,-74,0,0,sala01
-79,-73,0,0,sala01
-76,-75,0,0,sala01
-70,-70,0,0,sala01
-77,-79,0,0,sala01
-78,-78,0,0,sala01
-79,-70,0,0,sala01
-73,-75,0,0,sala01
-76,-71,0,0,sala01
-78,-75,0,0,sala01
-79,-76,0,0,sala01
-73,-79,0,0,sala01
-72,-76,0,0,sala01
-73,0,0,0,sala01
-77,0,0,0,sala01
-70,-79,-81,-82,sala01
-73,-77,-81,-82,sala01
-79,-72,-82,-84,sala01
-70,-71,-84,-83,sala01
-77,-74,-81,-82,sala01
-74,-71,-81,0,sala01
-75,-70,0,0,sala01
-79,-70,0,0,sala01
-73,-77,0,0,sala01
-73,-76,0,0,sala01
-78,-79,0,0,sala01
-75,-70,0,0,sala01
-76,-71,0,0,sala01
-70,-79,0,0,sala01
-72,-75,0,0,sala01
-71,-76,0,0,sala01
-78,-74,0,0,sala01
-76,-74,0,0,sala01
-76,-77,0,0,sala01
-71,-74,0,0,sala01
-79,-70,0,0,sala01
-73,-78,0,0,sala01
-78,-79,0,0,sala01
-70,-77,0,0,sala01
-78,0,0,0,sala01
-79,0,0,0,sala01
-78,0,0,0,sala01
-74,0,0,0,sala01
-73,0,0,0,sala01
-77,0,0,0,sala01
-70,0,0,0,sala01
-73,0,0,0,sala01
-70,-72,-82,-82,sala01
-70,-73,-81,-83,sala01
-73,-79,-81,-81,sala01
-73,-78,-83,-81,sala01
-78,-77,-81,-83,sala01
-79,-70,-81,0,sala01
-74,-70,0,0,sala01
-78,-71,0,0,sala01
-78,-77,0,0,sala01
-75,-79,0,0,sala01
-77,-79,0,0,sala01
-75,-79,0,0,sala01
-72,-78,0,0,sala01
-77,-72,0,0,sala01
-78,-74,0,0,sala01
-78,-76,0,0,sala01
-72,-76,0,0,sala01
-74,-75,0,0,sala01
-72,-79,0,0,sala01
-70,-74,0,0,sala01
-75,-78,0,0,sala01
0,-72,0,0,sala01
0,-75,0,0,sala01
0,-70,0,0,sala01
0,-79,0,0,sala01
0,-74,0,0,sala01
0,-72,0,0,sala01
0,-77,0,0,sala01
0,-78,0,0,sala01
0,-77,0,0,sala01
0,-73,0,0,sala01
0,-75,0,0,sala01
0,-74,0,0,sala01
0,-76,0,0,sala01
-73,-72,-83,-81,sala01
-79,-70,-84,-81,sala01
-77,-78,-81,-82,sala01
-70,-77,-82,-82,sala01
-71,-70,-81,-85,sala01
-73,-73,0,0,sala01
-74,-77,0,0,sala01
-79,-79,0,0,sala01
-74,-78,0,0,sala01
-75,-78,0,0,sala01
-74,-74,0,0,sala01
-79,-79,0,0,sala01
-78,-76,0,0,sala01
-74,-73,0,0,sala01
-77,-78,0,0,sala01
-72,-73,0,0,sala01
-72,-74,0,0,sala01
-71,-75,0,0,sala01
-70,-75,0,0,sala01
-74,-77,0,0,sala01
-78,-79,0,0,sala01
-71,-77,0,0,sala01
-78,-78,0,0,sala01
-77,-72,0,0,sala01
-71,-73,0,0,sala01
-75,-70,0,0,sala01
-72,-76,0,0,sala01
