{'_id': ObjectId('5b911ae6a8c5701960d33fd9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:17:42']}
{'_id': ObjectId('5b911aeaa8c5701960d3400d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:17:46']}
{'_id': ObjectId('5b911aeea8c5701960d34041'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:17:50']}
{'_id': ObjectId('5b911af2a8c5701960d34075'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:17:54']}
{'_id': ObjectId('5b911af6a8c5701960d340a9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:17:57']}
{'_id': ObjectId('5b911afaa8c5701960d340dd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:01']}
{'_id': ObjectId('5b911afea8c5701960d34111'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:05']}
{'_id': ObjectId('5b911b02a8c5701960d34145'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:09']}
{'_id': ObjectId('5b911b05a8c5701960d34179'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:12']}
{'_id': ObjectId('5b911b08a8c5701960d341ad'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:16']}
{'_id': ObjectId('5b911b0ca8c5701960d341e1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:20']}
{'_id': ObjectId('5b911b10a8c5701960d34215'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:24']}
{'_id': ObjectId('5b911b14a8c5701960d34249'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:27']}
{'_id': ObjectId('5b911b17a8c5701960d3427d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:31']}
{'_id': ObjectId('5b911b1ba8c5701960d342b1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:35']}
{'_id': ObjectId('5b911b1fa8c5701960d342e5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:38']}
{'_id': ObjectId('5b911b23a8c5701960d34319'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:42']}
{'_id': ObjectId('5b911b27a8c5701960d3434d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:46']}
{'_id': ObjectId('5b911b2aa8c5701960d34381'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:50']}
{'_id': ObjectId('5b911b2ea8c5701960d343b5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:53']}
{'_id': ObjectId('5b911b32a8c5701960d343e9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:18:57']}
{'_id': ObjectId('5b911b35a8c5701960d3441d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -79, 'TIME': ['09:19:01']}
