{'_id': ObjectId('5be0b9c6fbc42b097900fb20'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -44, 'TIME': ['18:44:38'], 'DIST': 0.35481338923357547}
{'_id': ObjectId('5be0b9c6fbc42b097900fb21'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -75, 'TIME': ['18:44:38'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b9c6fbc42b097900fb22'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -90, 'TIME': ['18:44:38'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b9c6fbc42b097900fb23'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -78, 'TIME': ['18:44:38'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9c6fbc42b097900fb24'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -94, 'TIME': ['18:44:38'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9c6fbc42b097900fb25'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -95, 'TIME': ['18:44:38'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9c6fbc42b097900fb26'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -94, 'TIME': ['18:44:38'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9c6fbc42b097900fb27'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -94, 'TIME': ['18:44:38'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9c6fbc42b097900fb28'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -78, 'TIME': ['18:44:38'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9c6fbc42b097900fb29'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '2c:4d:54:73:e4:73', 'RSSI': -85, 'TIME': ['18:44:38'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b9c6fbc42b097900fb2a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -73, 'TIME': ['18:44:38'], 'DIST': 10.0}
{'_id': ObjectId('5be0b9c6fbc42b097900fb2b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -74, 'TIME': ['18:44:38'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0b9c6fbc42b097900fb2c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -76, 'TIME': ['18:44:38'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0b9c9fbc42b097900fb2d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -83, 'TIME': ['18:44:41'], 'DIST': 31.622776601683793}
{'_id': ObjectId('5be0b9c9fbc42b097900fb2e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -76, 'TIME': ['18:44:41'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0b9c9fbc42b097900fb2f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -93, 'TIME': ['18:44:41'], 'DIST': 100.0}
{'_id': ObjectId('5be0b9c9fbc42b097900fb30'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -78, 'TIME': ['18:44:41'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9c9fbc42b097900fb31'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -92, 'TIME': ['18:44:41'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9c9fbc42b097900fb32'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -95, 'TIME': ['18:44:41'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9c9fbc42b097900fb33'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -91, 'TIME': ['18:44:41'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b9c9fbc42b097900fb34'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -94, 'TIME': ['18:44:41'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9c9fbc42b097900fb35'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -78, 'TIME': ['18:44:41'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9c9fbc42b097900fb36'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '2c:4d:54:73:e4:73', 'RSSI': -85, 'TIME': ['18:44:41'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b9c9fbc42b097900fb37'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -73, 'TIME': ['18:44:41'], 'DIST': 10.0}
{'_id': ObjectId('5be0b9c9fbc42b097900fb38'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -38, 'TIME': ['18:44:41'], 'DIST': 0.1778279410038923}
{'_id': ObjectId('5be0b9c9fbc42b097900fb39'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -25, 'TIME': ['18:44:41'], 'DIST': 0.039810717055349734}
{'_id': ObjectId('5be0b9cdfbc42b097900fb3a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -76, 'TIME': ['18:44:45'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0b9cdfbc42b097900fb3b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -78, 'TIME': ['18:44:45'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9cdfbc42b097900fb3c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -91, 'TIME': ['18:44:45'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b9cdfbc42b097900fb3d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -79, 'TIME': ['18:44:45'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b9cdfbc42b097900fb3e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -93, 'TIME': ['18:44:45'], 'DIST': 100.0}
{'_id': ObjectId('5be0b9cdfbc42b097900fb3f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -95, 'TIME': ['18:44:45'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9cdfbc42b097900fb40'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -87, 'TIME': ['18:44:45'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0b9cdfbc42b097900fb41'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -94, 'TIME': ['18:44:45'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9cdfbc42b097900fb42'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -95, 'TIME': ['18:44:45'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9cdfbc42b097900fb43'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -78, 'TIME': ['18:44:45'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9cdfbc42b097900fb44'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '2c:4d:54:73:e4:73', 'RSSI': -85, 'TIME': ['18:44:45'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b9cdfbc42b097900fb45'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -73, 'TIME': ['18:44:45'], 'DIST': 10.0}
{'_id': ObjectId('5be0b9cdfbc42b097900fb46'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -40, 'TIME': ['18:44:45'], 'DIST': 0.22387211385683395}
{'_id': ObjectId('5be0b9cdfbc42b097900fb47'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -19, 'TIME': ['18:44:45'], 'DIST': 0.0199526231496888}
{'_id': ObjectId('5be0b9d0fbc42b097900fb48'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -82, 'TIME': ['18:44:48'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b9d0fbc42b097900fb49'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -76, 'TIME': ['18:44:48'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0b9d0fbc42b097900fb4a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -90, 'TIME': ['18:44:48'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b9d0fbc42b097900fb4b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -79, 'TIME': ['18:44:48'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b9d0fbc42b097900fb4c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -92, 'TIME': ['18:44:48'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9d0fbc42b097900fb4d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -95, 'TIME': ['18:44:48'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9d0fbc42b097900fb4e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -90, 'TIME': ['18:44:48'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b9d0fbc42b097900fb4f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -92, 'TIME': ['18:44:48'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9d0fbc42b097900fb50'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -95, 'TIME': ['18:44:48'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9d0fbc42b097900fb51'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -78, 'TIME': ['18:44:48'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9d0fbc42b097900fb52'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '2c:4d:54:73:e4:73', 'RSSI': -85, 'TIME': ['18:44:48'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b9d0fbc42b097900fb53'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -73, 'TIME': ['18:44:48'], 'DIST': 10.0}
{'_id': ObjectId('5be0b9d0fbc42b097900fb54'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -38, 'TIME': ['18:44:48'], 'DIST': 0.1778279410038923}
{'_id': ObjectId('5be0b9d0fbc42b097900fb55'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -23, 'TIME': ['18:44:48'], 'DIST': 0.03162277660168379}
{'_id': ObjectId('5be0b9d4fbc42b097900fb56'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -92, 'TIME': ['18:44:51'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9d4fbc42b097900fb57'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -79, 'TIME': ['18:44:51'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b9d4fbc42b097900fb58'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -91, 'TIME': ['18:44:51'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b9d4fbc42b097900fb59'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -76, 'TIME': ['18:44:51'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0b9d4fbc42b097900fb5a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -93, 'TIME': ['18:44:51'], 'DIST': 100.0}
{'_id': ObjectId('5be0b9d4fbc42b097900fb5b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -92, 'TIME': ['18:44:51'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9d4fbc42b097900fb5c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -89, 'TIME': ['18:44:51'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be0b9d4fbc42b097900fb5d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -93, 'TIME': ['18:44:51'], 'DIST': 100.0}
{'_id': ObjectId('5be0b9d4fbc42b097900fb5e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -95, 'TIME': ['18:44:51'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9d4fbc42b097900fb5f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -78, 'TIME': ['18:44:51'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9d4fbc42b097900fb60'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '2c:4d:54:73:e4:73', 'RSSI': -85, 'TIME': ['18:44:51'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b9d4fbc42b097900fb61'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -73, 'TIME': ['18:44:51'], 'DIST': 10.0}
{'_id': ObjectId('5be0b9d4fbc42b097900fb62'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -39, 'TIME': ['18:44:51'], 'DIST': 0.19952623149688797}
{'_id': ObjectId('5be0b9d4fbc42b097900fb63'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -18, 'TIME': ['18:44:51'], 'DIST': 0.01778279410038923}
{'_id': ObjectId('5be0b9d7fbc42b097900fb64'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -42, 'TIME': ['18:44:55'], 'DIST': 0.28183829312644537}
{'_id': ObjectId('5be0b9d7fbc42b097900fb65'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -78, 'TIME': ['18:44:55'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9d7fbc42b097900fb66'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -91, 'TIME': ['18:44:55'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b9d7fbc42b097900fb67'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -79, 'TIME': ['18:44:55'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b9d7fbc42b097900fb68'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -91, 'TIME': ['18:44:55'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b9d7fbc42b097900fb69'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -92, 'TIME': ['18:44:55'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9d7fbc42b097900fb6a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -92, 'TIME': ['18:44:55'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9d7fbc42b097900fb6b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -94, 'TIME': ['18:44:55'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9d7fbc42b097900fb6c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -95, 'TIME': ['18:44:55'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9d7fbc42b097900fb6d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -78, 'TIME': ['18:44:55'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9d7fbc42b097900fb6e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '2c:4d:54:73:e4:73', 'RSSI': -85, 'TIME': ['18:44:55'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b9d7fbc42b097900fb6f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -73, 'TIME': ['18:44:55'], 'DIST': 10.0}
{'_id': ObjectId('5be0b9d7fbc42b097900fb70'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -33, 'TIME': ['18:44:55'], 'DIST': 0.1}
{'_id': ObjectId('5be0b9d7fbc42b097900fb71'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -18, 'TIME': ['18:44:55'], 'DIST': 0.01778279410038923}
{'_id': ObjectId('5be0b9dafbc42b097900fb72'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -77, 'TIME': ['18:44:58'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0b9dafbc42b097900fb73'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -77, 'TIME': ['18:44:58'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0b9dafbc42b097900fb74'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -91, 'TIME': ['18:44:58'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b9dafbc42b097900fb75'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -79, 'TIME': ['18:44:58'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b9dafbc42b097900fb76'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -92, 'TIME': ['18:44:58'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9dafbc42b097900fb77'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -92, 'TIME': ['18:44:58'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b9dafbc42b097900fb78'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -90, 'TIME': ['18:44:58'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b9dafbc42b097900fb79'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -94, 'TIME': ['18:44:58'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9dafbc42b097900fb7a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -95, 'TIME': ['18:44:58'], 'DIST': 125.89254117941675}
