{'_id': ObjectId('5be0bd8dfbc42b0a26e9bd8d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['19:00:45'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0bd90fbc42b0a26e9bda2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['19:00:48'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0bd94fbc42b0a26e9bdb7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['19:00:51'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0bd97fbc42b0a26e9bdcd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['19:00:55'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0bd9bfbc42b0a26e9bde3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['19:00:58'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0bd9efbc42b0a26e9bdf9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['19:01:01'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0bda1fbc42b0a26e9be0f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -87, 'TIME': ['19:01:05'], 'DIST': 50.11872336272722}
{'_id': ObjectId('5be0bda5fbc42b0a26e9be25'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['19:01:08'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0bda8fbc42b0a26e9be3b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['19:01:11'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0bdb2fbc42b0a26e9be50'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['19:01:21'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0bdb5fbc42b0a26e9be66'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['19:01:25'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0bdb9fbc42b0a26e9be7d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['19:01:28'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0bdbcfbc42b0a26e9be94'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['19:01:32'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0bdbffbc42b0a26e9beab'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['19:01:35'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0bdc3fbc42b0a26e9bec2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['19:01:38'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0bdc6fbc42b0a26e9bed9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['19:01:42'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0bdcdfbc42b0a26e9bef0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:01:48'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bdd0fbc42b0a26e9bf08'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:01:52'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bdd4fbc42b0a26e9bf20'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:01:55'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bdd7fbc42b0a26e9bf38'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:01:59'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bddafbc42b0a26e9bf50'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:02'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bddefbc42b0a26e9bf68'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:05'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bde1fbc42b0a26e9bf80'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:09'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bde5fbc42b0a26e9bf98'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:12'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bde8fbc42b0a26e9bfb0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:15'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0bdebfbc42b0a26e9bfc8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -80, 'TIME': ['19:02:19'], 'DIST': 22.3872113856834}
