{'_id': ObjectId('5be0554ffbc42b1464ccef90'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -78, 'TIME': ['11:35:58'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0554ffbc42b1464ccef91'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -95, 'TIME': ['11:35:58'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0554ffbc42b1464ccef92'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -69, 'TIME': ['11:35:58'], 'DIST': 6.309573444801933}
{'_id': ObjectId('5be0554ffbc42b1464ccef93'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -78, 'TIME': ['11:35:58'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0554ffbc42b1464ccef94'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -92, 'TIME': ['11:35:58'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0554ffbc42b1464ccef95'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -91, 'TIME': ['11:35:58'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0554ffbc42b1464ccef96'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -92, 'TIME': ['11:35:58'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0554ffbc42b1464ccef97'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -80, 'TIME': ['11:35:58'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0554ffbc42b1464ccef98'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -62, 'TIME': ['11:35:58'], 'DIST': 2.8183829312644537}
{'_id': ObjectId('5be0554ffbc42b1464ccef99'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -33, 'TIME': ['11:35:58'], 'DIST': 0.1}
{'_id': ObjectId('5be0554ffbc42b1464ccef9a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -82, 'TIME': ['11:35:58'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be05552fbc42b1464ccef9b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -81, 'TIME': ['11:36:02'], 'DIST': 25.118864315095795}
