{'_id': ObjectId('5be0584bfbc42b1681f19658'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -89, 'TIME': ['11:48:43'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be0584efbc42b1681f19666'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -89, 'TIME': ['11:48:46'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be05852fbc42b1681f19675'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -89, 'TIME': ['11:48:50'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be05855fbc42b1681f19685'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -89, 'TIME': ['11:48:53'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be05858fbc42b1681f19695'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -89, 'TIME': ['11:48:56'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be0585cfbc42b1681f196a5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -89, 'TIME': ['11:49:00'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be0585ffbc42b1681f196b6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -89, 'TIME': ['11:49:03'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be05862fbc42b1681f196c7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -89, 'TIME': ['11:49:06'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be05866fbc42b1681f196d8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['11:49:10'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be05869fbc42b1681f196e9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['11:49:13'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0586cfbc42b1681f196fa'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['11:49:16'], 'DIST': 19.952623149688797}
