{'_id': ObjectId('5be0b6bdfbc42b079c1127e8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:31:41'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6c0fbc42b079c1127fd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:31:44'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6c3fbc42b079c112812'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:31:47'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6c7fbc42b079c112827'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:31:51'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6cafbc42b079c11283c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:31:54'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6cdfbc42b079c112851'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:31:57'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6d1fbc42b079c112866'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:32:01'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6d4fbc42b079c11287b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:32:04'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6d7fbc42b079c112890'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:32:07'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6dbfbc42b079c1128a5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:32:11'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b6defbc42b079c1128ba'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:32:14'], 'DIST': 12.589254117941675}
