{'_id': ObjectId('5be0b672fbc42b079c11266a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -93, 'TIME': ['18:30:26'], 'DIST': 100.0}
{'_id': ObjectId('5be0b672fbc42b079c11266b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -47, 'TIME': ['18:30:26'], 'DIST': 0.5011872336272722}
{'_id': ObjectId('5be0b672fbc42b079c11266c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -79, 'TIME': ['18:30:26'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b672fbc42b079c11266d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -80, 'TIME': ['18:30:26'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0b672fbc42b079c11266e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -95, 'TIME': ['18:30:26'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b672fbc42b079c11266f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -92, 'TIME': ['18:30:26'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b672fbc42b079c112670'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -90, 'TIME': ['18:30:26'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b672fbc42b079c112671'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -88, 'TIME': ['18:30:26'], 'DIST': 56.23413251903491}
{'_id': ObjectId('5be0b672fbc42b079c112672'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -96, 'TIME': ['18:30:26'], 'DIST': 141.2537544622754}
{'_id': ObjectId('5be0b672fbc42b079c112673'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -19, 'TIME': ['18:30:26'], 'DIST': 0.0199526231496888}
{'_id': ObjectId('5be0b672fbc42b079c112674'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -36, 'TIME': ['18:30:26'], 'DIST': 0.14125375446227545}
